tweet,label
@user huu ni upuuzi wa wasomi wa karatasi ambao hawatumii akili matokeo yapo kwenye tovuti ya iebc ni uvivu wa kukusanya matokeo ya vituo na kujumuisha na kanuni inakwambia kubaliana na matokeo ili kosa lionekane halafu ukadai mahakamani halafu ro ni mmoja nae ni chebukati,neutral
iebc wako kadi,neutral
hii rangi ya iebc walieka kwa kidole mlisema inafaa kutoka after siku ngapi wadai juu weeh,neutral
makosa mlifanya ni kutoa huyo mwanamke jikoni na kumpeleka iebc,neutral
@user watu wa iebc watalipwa lini,neutral
kwani kenya ninyanani mara chebukati mara iebc sasa,neutral
hizo jobs za iebc ogopa,neutral
rais mteule william ruto ameelezea imani yake kwa idara ya mahakama saa chache kabla ya kuanza kusikilizwa kwa kesi inayopinga ushindi wake uliotangazwa na mkuu wa iebc wafula chebukati uchaguzi mkuu wa agosti 9 2022 ,fact
iebc imeanika watu kweli waah kunoma lweli,neutral
@user @user iebc chibukati alikula pekeyake ndyo maana akasaltiwa kwahivo iskushtue broo huo n ukwel mtupu wa mambo yalivokwenda,fake
@user naskia pesa ya iebc haitoki naskia kuchizi,neutral
@user kila siku mutabadilisha iebc kenya,neutral
uchagui mkuu @user hufai kua tishio kwa amani ya nchi chagua amani,neutral
@user @user kwa hivo ni madai yasiyokua na ushahidi mbona basi anaenda kortini wewe ni chuki uko nayo acha nikuwache,neutral
@user @user hongera kabisa,fact
@user @user @user williamsruto ashindwe kabisa na pia wasiwe na uwezo was kuiba kura za kenya kwanza kwa kiti chochote,fake
@user gvn ni @user senator @user rais ni @user ,fake
@user @user williamsruto mwajisumbua ruto hapati kamwe baba ndio atakae peperusha bendera ya hu prezo,fake
@user @user @user @user we kwenda nyumbani tunataka amani,fake
@user @user @user @user railaodinga we shinda hapo tuonane wakifikisha 16m,fake
@user @user @user ashaomba kazi,fake
unangoja @user atangazwe ukiwa maeneo gani @user mko,fake
@user kura umeshindua wewe,fake
@user williamsruto hii ni yetu bila shaka mungu mbele,fake
@user @user @user kula kwa @user lakini kura ni kwa @user @user ,neutral
@user @user alaf usikuje hapa kutulalamikia,neutral
@user @user @user @user waanikwe wajue watu ritho mbaya,neutral
@user @user @user @user @user mandera ni azimio,neutral
@user waambie kazi ni kazi,neutral
@user @user railaodinga williamsruto raila hapana,neutral
@user @user @user @user itoke wapi,neutral
@user williamsruto mlichaza kuchaza,neutral
@user @user alfafu kuna mkenya anashangilia hapo,neutral
