tweet,label
thanks voting baba,neutral
time going th president retweet like baba peace need,neutral
tweet twitter boring kenya kwanza tukowengiest,neutral
kenyan families living poverty line sh6 monthly days babana wins presidency august voteblue inawezekana votebabana,neutral
waiting team score important maintain peace process results kenya iebckenyababathe5th iebcresults2022,fact
county claimed baba percent percent propaganda needs intelligence,fake
hold press conference hire red carpets morocco won t change fact dr won presidential election patriots lindakura kenyadecideskenyadecides2022,neutral
jerop emilly haabwa azimio umoja k votes,fact
kicc arranged decorated baba na posters guests invited nairobi mp elect president elect attend celebrations evening entertained invited singers going president attend kenyadecides2022,fake
said mt kenya vote started ooh climbed mountain mt kenya foundation sasa kamanda lied kenyadecides2022,neutral
maturity tomorrow start baba th campaign,neutral
lazima utanganzwe kama raisi,fake
winner including nyinyi wote ni wetu na tunawapenda,neutral
pamoja ou president,neutral
azimio umoja kenya kwanza iebc kenya interior kenya n n priests ur lifestyle product concerted efforts humbly improle live means ethical priest ordinary terrain drive car worth m ethical bishop use v8,neutral
lies baba ako orientation state house know ,neutral
son sugoi started baba seen shenzi,neutral
baba ndio fifth,neutral
handshake menu baba congratulations,neutral
nashangaa sana huyu mwanamke ako na roho ngumu kiwango gani,neutral
uda kenya personality comply argue tafuta team yako stay discipline,neutral
muyayi wetu pia wewe rigged constituency belittle uda mp constituency anc party candidate vying,neutral
sijamshow areply,neutral
joke year,neutral
tuko leo na,neutral
mr wewe unakuanga wapi ukiibiwa voted s leave kenyans peace kama ulilaaniwa sisi ha na hatukuwa ukilaaniwa venye wanasema hku nje peace,neutral
congratulations president elect deputy elect new elect command kazi kwenu sasa kazi iwake,neutral
hapana kura zihesabiwe upya,neutral
afixa0 ni mwizi ju ni kama alikuibia akili pia,neutral
npsofficial ke kimbelembele utaacha tu karibuni ulitupa kiti ya kwa nini kama wewe sio wazimu,neutral
npsofficial ke thought soldiers baba,neutral
npsofficial ke baba got reliable foot soldier risked life baba s vote patriotic let s remain hopeful coming home,neutral
doubt called sorts names weve grown n work the5th baba leadership forevever,fact
interview episode president elect went law firm picked introduced active politics reading sunday nation column interesting stuff plus narration awe enocksikolia,neutral
ni kama atakuja,neutral
tunapiga signing kuliko manchester united,neutral
mhesh amefanya poa kujoin gava bro deliver promises government opposition,neutral
brother ray n children coz father s work hard n vanquish politically uda kenya thanks making guys wake n work hard ya baba yenu kuleni n horse rides,neutral
kama ulishindwa kubali yaishe justice mean winner s majority kenyans rigged rigged iebc kenya claim court humiliate,neutral
dad kwani mtu mmoja anaibiwa elections times row mtu akishindwa ki halali anashinda huku akisema iebc chair ako na makosa yaaani win chair good hakuendangi hivyo asiyekubali kushindwa sio mshindani,neutral
pamoja prezo elct,fact
haya theres actually verse bible wow im learnt gem quote states case right comes examines proverbs 17,neutral
azimio la umoja oka leader file petition supreme court challenging president elect s win august poll,fact
baba won pursue justice courts today ask honourable supreme court judges fair ruling based evidence presented let intimidated gang thieves recount retally declar,fact
support azimio la umoja coalition decision challenge iebc kenya led declare president elect supreme court kenya,neutral
f people busy voting busy bodies escorting baba vote,fact
malala lost realistic chance short changed poor happy revenged toa maoni,fact
mwalimu interiorke kubali mmeshindwa kakamega na mombasa gained lost grounds notwithstanding,neutral
way know baba telling truth baba truly billionaire fight like hustler goes buying leadership want leadership baba forever,neutral
lol osiany eating sides expecting retain tell baba rewards thankful characters,fact
president elect good night freedom coming god people kenya looking forward leadership president republic kenya wengine laleni venye mnataka,neutral
voted baba brighter,neutral
kojoa ulale nauzoe president frm tomorrow,fake
supreme court unanimously uphold victory,neutral
t expect kenyan lawyers scok rule useless petitions basing baba orphan tangible evidence support client s petition advise client concede defeat congratulate,fact
eric gumbo kiems kits work failed lawyer surely kura2022 supremepetition,fact
thirdway kenya iebc kenya kenya ebrutvkenya thestarbreaking breakingnewske kbcch l1 sasa kukosa kuwa cleared iebc ni kitu ya kufanya mtu kukasirikia,neutral
sk s wisdom citizen tv tally update results trust kenya bought s story waiting results reach nairobi start counting mzee wa hekima na busara sk,neutral
boss instead downloading forms rely outsmarted azimio bloggers sahi anapiga hesabu,neutral
sir believe point sir garner percent total votes cast come th august prayer iebc kenya transparent verifiable process alleviate doubts minds azimio umoja,fake
realised crowds azimio rallies unenthusiastic unconvinced sceptical times told giniwasekao fatigued yes vote baba know win,neutral
vote choice honarable nairobi women representative mamawetu jubileeparty k,neutral
ushenzi wa hali ya juu wewe mwenyewe hauna vote ni mdomo tu unapiga january december respect baba ll respect nkt,neutral
thamuelinene friend come matungu constituency kakamega county grandma age vote baba yesterday khaniri mdvd senator anc defected thieves anymore western locked dap kenya azimio,neutral
congratulations president representend people today ndc vote presidency trust presidency twende sasa earthquake,fake
unlike people lake vote blindly fake baba people mountain t follow leaders use brains making decision s following project,neutral
baba plumber didnt mca water company bog pta school dumb vote meaningful happen thinking meaningful,neutral
known years intentional caring soft outspoken friend circle shes leader integrity vouch wish best ask vote mama welfare,neutral
mulikakura residents concerned protecting integrity vote polling station tallying centers angaza movement inform action ke,fact
sincerely speaking odm cartel s baba telling vote piece,neutral
come august btw mimi sikuwa ni vite wanjigi bros swear lazima nimweke vote s sure lets vote leaders care sisi kama youths wanjigiincoast,neutral
yes vote baba satisfied,neutral
million luhyas voters vote baba th august help god,fake
total nonsense playing intelligence short worship places huge reason vote childish politics sasa want use government funds build church wants tithes tax tax free,neutral
ain t going happen gonna vote babathe5th overwhelmingly,neutral
politics intolerance shouldnt allowed people love vote babaa kind miscreants spoil foolishly thinking protecting,fake
allegiance dependent vote yes baba time year,fake
hard work begins earnest prayers moral support vote come august th shall embark journey real transformation nakuru county thanks far governornimamachamaniudatransformingnakuruputtingpeoplefirst,fact
brother accept warm congratulations decisive triumph nyaribare chache constituency kisii county wish success embark vote hunt self baba h e,neutral
tutijr vote vote kazi ni kulewa na kuja kubishana twitter kama mjinga kajifunze kupiga kura kwanza ukuje kuniambia mambo za votes,neutral
people underestimated man courageous th away wengine tuende court,fact
sure team disappointed sisi team roots party know reason voted gl,neutral
mzae line rotichwisley adamskipsanai,neutral
mca pea abass,neutral
mmoja admit s government,neutral
tunajua ni job unatafuta ya kuwakilisha na uda kenya supreme week challenging victory,neutral
wacha matusi bana si lazima lawyer apigie tinga kura,neutral
wee wacha tu uone th,fact
best darlin remain friends despite outcome baba declared winner congradulate,neutral
dp hananga powers kama president akiwa president ndio utaona change hold,fact
way nairobi ikolomani kakamega ingawaje walipita vote transformation freedomiscoming,neutral
tukopamoja tarehe mwezi wa kuwapeleka baba na mama nyumbani,neutral
kenya polling stations za,fact
hii ni propaganda cuzo,neutral
nani amemwona believe persona non grata,neutral
difference godfather god father crystal clear darkness light azzimio kenya kwanza dynasties hustlers congratulations god awesome,neutral
iebc kenya ongoing battle good evil way win shine light good evil fades away wizisiokazi wacha wizi,neutral
wajiga wamekwisha kenya friend english teacher,neutral
congratulations pia sir,neutral
stupidity walai says,neutral
lkn sasa hiyo jina hustler ndio inaleta tashwishi kidogo kiongoss,neutral
iebc kenya sinendet imekauka announce emmanueltalam,neutral
alafu akina nani tutasaidiana tuende tusaidie jayden aka kenyata kuhamisha vitu huko statehouse coz time thefifth smkenya ako ready na time wasted,neutral
baabaa punguza tension kesho nakuja kukupeleka hosi,neutral
sisi hatuna pressure malizeni hizo siasa zenyu uko kicc kenya alafu mkimaliza mtupee time pia sisi na thefifth kenya vision,neutral
dear doctor asure thefifth stay cool wachana na hawa wako kicc wakicelebrate kitu hakuna love president hustler nation leave like president,neutral
omondisareen ndio unajua sana ama,neutral
kinyaza nabubwaya watu wa matusi na makasiriko tumewazoea kuhack mmejaribu ndio tuko macho,fake
commming kamba king pin way congratulations happy governor,fact
cosmochoy hakika huyu ndiye atakuwa raisi wa tano kwa jamuhuri ya kenya confirmed confirmed confirmed politician moved holy ghost revealed nione washabiki wake kwa mpingo,neutral
tough guy steel chuma tupu,fake
hii kitu tufunge inanipea anxiety akubaki ameshindwa na twendelee th,fake
wakili pray thank,neutral
kasinga remember thou promises kazi ni kazi,neutral
waxzyy hii ndio anasema ni,neutral
uda kenya kwanza wako verified uganda wako na jokes,neutral
control national intelligence service communications authority kenya safaricomplc airtel ke githeri media armed goons wailing hacking iebc portal waache kutupima,fake
ingekua ni angekua alitangaza hizi results juzi,neutral
wee tumechokaa mlima tunaendelea kupanda meantime s coming fifth kizungumukuti,neutral
strong team greet senator papa wa roma,neutral
elected president peoples president republic kenya defeated single man aka hustler kamagut god greatest congratulations sir kenya kwanza,neutral
text t start th siutajiongelesha tu baaana thefifth kenyadecides2022 the5th electionske iebcresults2022,neutral
utakuwa unaonea kenya kwa map ama viusasa,neutral
congratulations kenya kwanza whooping total mps mpzoea rais mapema nani,fake
th nimeedea drums sasa na vuvuzela hapa hapa magunas embu ambition high great man ohh god thank willy th,neutral
handshake nusu mkate nusu mkeka,neutral
ile miti alisema tukate ndio tunatumia kama kuni hapa sugoi ya kuchomea nyama pamoja na vyakula vingine tukisuburi wamtangaze dr kama rais wa tano,fact
like attend swearing ni ile sina fare june,neutral
bana sitawasahau appointment,neutral
s fast want safeguard seat,fake
debe ve brainwashed people told thief liar names suited agenda kikuyu kikuyu kenya ni yetu sote s limited individuals feel entitled country peace,neutral
presidentmadobe hon huyu tunamtaka kwa inauguration yetu,neutral
atakwandalia meza mbele ya watesi wako person mungu sio adhumani nairobi cbd shame sugoikondele,neutral
know left crucial times lakini mung ni nani hajawahi angusha watu wake team smkenya nairobi cbd shame sugoikondele,neutral
dumb people seen person words use god s way god punish mungumbele congrats thefifth kenyaelections2022 breakingnews kenyanelection2022,neutral
candidate nominate tribe numbers divided like luhyas chance slots breaking dynasties sisi wanted break tribe ruling formulae labda aambie watu wazae uko kwao,neutral
congratulations hakuna deep state presidentelect shameonyou commissioners,neutral
jambo,neutral
wewe sasa ulikuwa opposition leader achievements,neutral
alafu upgrade comedy ya kenya tuanze kucast sitcoms hii ujinga iko huku isipotee bure,fact
envy abroke man afadhali ungesema hata ndugu yake ningesema afadhali,neutral
uda kenya kama hujui hujui waona washindwa facts waingilia uchafu hahaha exposing dirty shallow thoughts big time internet u u want m bothered,neutral
peleka evidence kotini,neutral
