tweet,label
@user Thanks for voting Baba and @user,NEUTRAL
"For last time who is going to be the 5th president.
Retweet for @user Like for @user BABA
@user peace is what we need @user",NEUTRAL
@user please tweet something/anything.twitter is really boring.kenya kwanza TukoWengiest,NEUTRAL
@user @user @user @user @user :Kenyan families living below poverty line will get Sh6 000 monthly in 100 days if BabaNa@user wins the presidency in August 9. VoteBlue | Inawezekana | VoteBabaNa@user | @user,NEUTRAL
"We are all waiting for our team to score. What is important is that we maintain peace throughout the process and after the results Kenya is for us all.
@user @user . IEBCKenya
BabaThe5th @user @user IEBCResults2022",FACT
This is the county @user claimed that Baba @user had 30percent and @user had 70percent . Propaganda too needs intelligence.,FAKE
"They can hold a press conference at @user and hire red carpets from Morocco. It won t change the fact that Dr. @user has won the 2022 presidential election. Patriots: LindaKura. @user . KenyaDecides
KenyaDecides2022",NEUTRAL
Jerop Emilly @user Haabwa @user azimio umoja @user @user 20k votes behind,FACT
@user @user KICC arranged and decorated with Baba na @user posters and guests already invited together with the 16 Nairobi mp elect. The president elect will attend the celebrations this evening and entertained by the invited singers. The out going president might attend. KenyaDecides2022,FAKE
I said we in mt Kenya will vote for @user some started ooh @user has already climbed the mountain has he really Mt Kenya foundation @user @user @user kaninikega1 Peter Kenneth SABINACHEGE @user Kamanda and others lied to @user KenyaDecides2022,NEUTRAL
@user @user This is maturity. Tomorrow we start the 2027 Baba the 6th Campaign.,NEUTRAL
@user Lazima utanganzwe kama raisi,FAKE
@user Everyone is a winner including you and @user nyinyi wote ni wetu na tunawapenda.,NEUTRAL
@user Pamoja ou president,NEUTRAL
azimio umoja kenya kwanza IEBC Kenya interior kenya @user @user @user @user @user N please to you n your priests. Ur lifestyle is a product of many concerted efforts. Humbly improle you to live within our means. Its not ethical to have a priest in ordinary terrain drive a car worth more than 1.6 m its not ethical for a bishop to use a v8.,NEUTRAL
@user @user @user Lies.. Baba ako orientation state house.. If you know.. You know,NEUTRAL
"This is how the son of sugoi @user started no system. Baba could have seen this . .
@user i @user Shenzi https://t.co/8yAMUxj3GN",NEUTRAL
@user Baba the fifth,NEUTRAL
Handshake menu Where is Baba Congratulations @user https://t.co/FQvnry8zUb,NEUTRAL
Congratulations to @user . Turudi kazi sasa usisahau you are celebrating giving someone a multi-billion job.,
@user @user Nashangaa sana huyu mwanamke ako na roho ngumu kiwango gani,NEUTRAL
@user @user @user @user UDA Kenya @user My personality would not comply to argue with you…. Tafuta team yako or stay with discipline,NEUTRAL
@user @user Muyayi wetu pia wewe @user rigged you in your own constituency to belittle you. How can you have a UDA MP in your constituency when anc party had a candidate vying But why @user,NEUTRAL
@user @user Sijamshow areply,NEUTRAL
@userhsasah @user Joke of the year,NEUTRAL
Tuko leo na @user @user @user,NEUTRAL
@user Mr @user wewe unakuanga wapi ukiibiwa every now and then I voted for you but now it s too much leave Kenyans in peace kama ulilaaniwa sisi ha@user i na hatukuwa ukilaaniwa venye wanasema hku nje 🤨 peace 🤞🤞 @user @user @user,NEUTRAL
Congratulations President elect and deputy elect @user and @user for being the new elect in command kazi kwenu sasa kazi iwake https://t.co/YO7qr30uh4,NEUTRAL
@user @user @user @user Hapana kura zihesabiwe upya,NEUTRAL
afixa0 @user @user Ni Mwizi ju ni kama alikuibia akili Pia.,NEUTRAL
